Date,Location,Confirmed Case
20.04.2020,Pirerbagh,2
20.04.2020,Purana Paltan,2
20.04.2020,Rajarbagh,28
20.04.2020,Rampura,5
20.04.2020,Ramna,5
20.04.2020,Rayerbagh,1
20.04.2020,Raja Bazar,1
20.04.2020,Rayerbazar,2
20.04.2020,Sabujbagh,3
20.04.2020,Sadarghat,2
20.04.2020,Sahjanpur,3
20.04.2020,Sayedabad,1
20.04.2020,Segunbagicha,1
20.04.2020,Science Lab,1
20.04.2020,Shah Ali Bagh,2
20.04.2020,Shahbag,11
20.04.2020,Shakharibazar,18
20.04.2020,Shantibagh,1
20.04.2020,Shampur,1
20.04.2020,Shantinagar,10
20.04.2020,Shaymoli,7
20.04.2020,Shewrapara,4
20.04.2020,Shekher Tek,1
20.04.2020,Showari Ghat,3
20.04.2020,Siddheshwari,4
20.04.2020,Sonir akhra,2
20.04.2020,Sutrapur,12
20.04.2020,TatiBazar,2
20.04.2020,Tikatoli,2
20.04.2020,Tejgaon,23
20.04.2020,Turag,1
20.04.2020,Tezturi Bazar,1
20.04.2020,Tolarbag,19
20.04.2020,Urdu Road,1
20.04.2020,Uttara,23
20.04.2020,Vatara,1
20.04.2020,Wari,30
21.04.2020,Adabor,5
21.04.2020,Agargaon,5
21.04.2020,Aminbazar,1
21.04.2020,Amlapara,1
21.04.2020,Armanitola,1
21.04.2020,Ashkona,1
21.04.2020,Azimpur,15
21.04.2020,Babu Bazar,11
21.04.2020,Badda,9
21.04.2020,Baily Road,3
21.04.2020,Banasree,1
21.04.2020,Banani,8
21.04.2020,Banglamotor,1
21.04.2020,Bangshal,31
21.04.2020,Banianagar,1
21.04.2020,Basabo,19
21.04.2020,Bashundhora,6
21.04.2020,Begunbari,1
21.04.2020,Begum Bazar,1
21.04.2020,Beribadh,1
21.04.2020,Bokshi Bazar,1
21.04.2020,Bosila,1
21.04.2020,Buet Area,1
21.04.2020,Cantonment,2
21.04.2020,Central Road,1
21.04.2020,Chankharpool,8
21.04.2020,Chawk Bazar,31
21.04.2020,Dhakkeshori,1
21.04.2020,Demra,6
21.04.2020,Dhanmondi,26
21.04.2020,Dholaikhal,2
21.04.2020,Doyaganj,2
21.04.2020,Elephant Road,2
21.04.2020,Eskaton,8
21.04.2020,Faridabagh,1
21.04.2020,Fakirapool,1
21.04.2020,Farmgate,2
21.04.2020,Gendaria,21
21.04.2020,Golartek,1
21.04.2020,Goran,3
21.04.2020,Gonoktuli,2
21.04.2020,Gopibag,6
21.04.2020,Green Road,10
21.04.2020,Gulistan,4
21.04.2020,Gulshan,19
21.04.2020,Hatir jhil,1
21.04.2020,Hatirpool,3
21.04.2020,Hazaribagh,18
21.04.2020,Ibrahimpur,2
21.04.2020,Islampur,2
21.04.2020,Jailgate,2
21.04.2020,Jatrabari,35
21.04.2020,Jigatala,5
21.04.2020,Jurain,9
21.04.2020,Kallyanpur,2
21.04.2020,Kalabagan,4
21.04.2020,Kakrail,2
21.04.2020,Kathalbagan,1
21.04.2020,Kamalapur,1
21.04.2020,Kamrangir Char,4
21.04.2020,Kazi para,6
21.04.2020,Kawran Bazar,3
21.04.2020,Kochukhet,1
21.04.2020,Khilgaon,5
21.04.2020,Khilkhet,1
21.04.2020,Koltabazar,1
21.04.2020,Kodomtoli,2
21.04.2020,Kotowali,7
21.04.2020,Kuril,1
21.04.2020,Lalbagh,35
21.04.2020,Laxmibazar,5
21.04.2020,Madartek,1
21.04.2020,Malitola,1
21.04.2020,Malibagh,4
21.04.2020,Maniknagar,2
21.04.2020,Manikdi,1
21.04.2020,Matuail,3
21.04.2020,Mirhajaribagh,2
21.04.2020,Mirpur-1,11
21.04.2020,Mirpur-2,1
21.04.2020,Mirpur-6,4
21.04.2020,Mirpur-10,8
21.04.2020,Mirpur-11,16
21.04.2020,Mirpur-12,12
21.04.2020,Mirpur-13,2
21.04.2020,Mirpur-14,21
21.04.2020,Mitford,28
21.04.2020,Mogbazar,14
21.04.2020,Mohakhali,17
21.04.2020,Mohonpur,1
21.04.2020,Mohammadpur,44
21.04.2020,Motijeel,1
21.04.2020,Mugda,8
21.04.2020,Nawabpur,1
21.04.2020,Nazirabazar,2
21.04.2020,Nawabganj,4
21.04.2020,Narinda,8
21.04.2020,Nilkhet,1
21.04.2020,Nakhalpara,6
21.04.2020,Nayabazar,7
21.04.2020,Neemtoli,4
21.04.2020,Nikunja,1
21.04.2020,Pallabi,2
21.04.2020,Pirerbagh,2
21.04.2020,Postogola,2
21.04.2020,Purana Paltan,2
21.04.2020,Rajarbagh,50
21.04.2020,Rampura,5
21.04.2020,Ramna,5
21.04.2020,Rayerbagh,1
21.04.2020,Raja Bazar,1
21.04.2020,Rayerbazar,2
21.04.2020,Sabujbagh,4
21.04.2020,Sadarghat,3
21.04.2020,Sahjanpur,4
21.04.2020,Sayedabad,2
21.04.2020,Segunbagicha,1
21.04.2020,Science Lab,1
21.04.2020,Shah Ali Bagh,2
21.04.2020,Shahbag,11
21.04.2020,Shakharibazar,20
21.04.2020,Shantibagh,1
21.04.2020,Shampur,1
21.04.2020,Shantinagar,10
21.04.2020,Shaymoli,7
21.04.2020,Shewrapara,4
21.04.2020,Shekher Tek,1
21.04.2020,Showari Ghat,3
21.04.2020,Siddheshwari,4
21.04.2020,Sonir akhra,3
21.04.2020,Sutrapur,12
21.04.2020,TatiBazar,2
21.04.2020,Tikatoli,8
21.04.2020,Tejgaon,23
21.04.2020,Turag,1
21.04.2020,Tezturi Bazar,1
21.04.2020,Tolarbag,19
21.04.2020,Urdu Road,1
21.04.2020,Uttara,23
21.04.2020,Vatara,1
21.04.2020,Wari,30
22.04.2020,Adabor,6
22.04.2020,Agargaon,5
22.04.2020,Aminbazar,1
22.04.2020,Amlapara,1
22.04.2020,Armanitola,1
22.04.2020,Ashkona,1
22.04.2020,Azimpur,16
22.04.2020,Babu Bazar,11
22.04.2020,Badda,9
22.04.2020,Baily Road,3
22.04.2020,Banasree,1
22.04.2020,Banani,8
22.04.2020,Banglamotor,1
22.04.2020,Bangshal,34
22.04.2020,Banianagar,1
22.04.2020,Basabo,19
22.04.2020,Bashundhora,6
22.04.2020,Begunbari,1
22.04.2020,Begum Bazar,1
22.04.2020,Beribadh,1
22.04.2020,Bokshi Bazar,1
22.04.2020,Bosila,1
22.04.2020,Buet Area,1
22.04.2020,Cantonment,2
22.04.2020,Central Road,1
22.04.2020,Chankharpool,8
22.04.2020,Chawk Bazar,32
22.04.2020,Dania,1
22.04.2020,Dhakkeshori,1
22.04.2020,Demra,6
22.04.2020,Dhanmondi,26
22.04.2020,Dholaikhal,2
22.04.2020,Doyaganj,2
22.04.2020,Elephant Road,2
22.04.2020,Eskaton,8
22.04.2020,Faridabagh,1
22.04.2020,Fakirapool,1
22.04.2020,Farmgate,2
22.04.2020,Gendaria,22
22.04.2020,Golartek,1
22.04.2020,Goran,3
22.04.2020,Gonoktuli,3
22.04.2020,Gopibag,6
22.04.2020,Green Road,11
22.04.2020,Gulistan,6
22.04.2020,Gulshan,19
22.04.2020,Hatir jhil,1
22.04.2020,Hatirpool,3
22.04.2020,Hazaribagh,18
22.04.2020,Ibrahimpur,2
22.04.2020,Islampur,2
22.04.2020,Jailgate,2
22.04.2020,Jatrabari,37
22.04.2020,Jigatala,6
22.04.2020,Jurain,14
22.04.2020,Kallyanpur,2
22.04.2020,Kalabagan,4
22.04.2020,Kakrail,2
22.04.2020,Kathalbagan,1
22.04.2020,Kamalapur,1
22.04.2020,Kamrangir Char,5
22.04.2020,Kazi para,6
22.04.2020,Kawran Bazar,4
22.04.2020,Koratitola,1
22.04.2020,Kochukhet,1
22.04.2020,Khilgaon,5
22.04.2020,Khilkhet,1
22.04.2020,Koltabazar,1
22.04.2020,Kodomtoli,2
22.04.2020,Kotowali,7
22.04.2020,Kuril,1
22.04.2020,Lalbagh,39
22.04.2020,Laxmibazar,5
22.04.2020,Madartek,1
22.04.2020,Malitola,1
22.04.2020,Malibagh,7
22.04.2020,Maniknagar,2
22.04.2020,Manikdi,1
22.04.2020,Matuail,3
22.04.2020,Mirhajaribagh,2
22.04.2020,Mirpur-1,13
22.04.2020,Mirpur-2,1
22.04.2020,Mirpur-6,4
22.04.2020,Mirpur-10,8
22.04.2020,Mirpur-11,16
22.04.2020,Mirpur-12,12
22.04.2020,Mirpur-13,2
22.04.2020,Mirpur-14,21
22.04.2020,Mitford,28
22.04.2020,Mogbazar,18
22.04.2020,Mohakhali,21
22.04.2020,Mohonpur,1
22.04.2020,Mohammadpur,44
22.04.2020,Motijeel,1
22.04.2020,Mugda,8
22.04.2020,Nawabpur,1
22.04.2020,Nazirabazar,7
22.04.2020,Nawabganj,4
22.04.2020,Narinda,9
22.04.2020,Nilkhet,1
22.04.2020,Nakhalpara,6
22.04.2020,Nayabazar,7
22.04.2020,Neemtoli,4
22.04.2020,Nikunja,1
22.04.2020,Pallabi,2
22.04.2020,Pirerbagh,2
22.04.2020,Postogola,3
22.04.2020,Purana Paltan,2
22.04.2020,Rajarbagh,70
22.04.2020,Rampura,5
22.04.2020,Ramna,5
22.04.2020,Rayerbagh,1
22.04.2020,Raja Bazar,1
22.04.2020,Rosulpur,1
22.04.2020,Rupganj,1
22.04.2020,Rayerbazar,2
22.04.2020,Sabujbagh,4
22.04.2020,Sadarghat,3
22.04.2020,Sahjanpur,4
22.04.2020,Sayedabad,2
22.04.2020,Segunbagicha,1
22.04.2020,Science Lab,1
22.04.2020,Shah Ali Bagh,2
22.04.2020,Shahbag,16
22.04.2020,Shakharibazar,20
22.04.2020,Shantibagh,1
22.04.2020,Shampur,1
22.04.2020,Shantinagar,12
22.04.2020,Shaymoli,9
22.04.2020,Shewrapara,4
22.04.2020,Shekher Tek,1
22.04.2020,Showari Ghat,3
22.04.2020,Siddheshwari,4
22.04.2020,Sonir akhra,4
22.04.2020,Sutrapur,12
22.04.2020,TatiBazar,2
22.04.2020,Tikatoli,10
22.04.2020,Tejgaon,24
22.04.2020,Turag,1
22.04.2020,Tezturi Bazar,1
22.04.2020,Tolarbag,19
22.04.2020,Urdu Road,1
22.04.2020,Uttara,25
22.04.2020,Vatara,1
22.04.2020,Wari,30
24.04.2020,Abdullahpur,1
24.04.2020,Adabor,6
24.04.2020,Agargaon,11
24.04.2020,Aminbazar,1
24.04.2020,Amlapara,1
24.04.2020,Armanitola,1
24.04.2020,Ashkona,1
24.04.2020,Azimpur,16
24.04.2020,Babu Bazar,11
24.04.2020,Badda,14
24.04.2020,Baily Road,3
24.04.2020,Baridhara,7
24.04.2020,Banasree,1
24.04.2020,Banani,9
24.04.2020,Banglamotor,2
24.04.2020,Bangshal,40
24.04.2020,Banianagar,1
24.04.2020,Basabo,19
24.04.2020,Bijoynagar,1
24.04.2020,Bashundhora,7
24.04.2020,Begunbari,1
24.04.2020,Begum Bazar,1
24.04.2020,Beribadh,1
24.04.2020,Bokshi Bazar,4
24.04.2020,Bosila,1
24.04.2020,Buet Area,1
24.04.2020,Cantonment,4
24.04.2020,Central Road,2
24.04.2020,Chankharpool,12
24.04.2020,Chawk Bazar,32
24.04.2020,Dania,1
24.04.2020,Dakshinkhan,1
24.04.2020,Dhakkeshori,1
24.04.2020,Demra,8
24.04.2020,Dhanmondi,28
24.04.2020,Dholaikhal,2
24.04.2020,Doyaganj,2
24.04.2020,Elephant Road,4
24.04.2020,Eskaton,9
24.04.2020,Faridabagh,1
24.04.2020,Fakirapool,1
24.04.2020,Farmgate,3
24.04.2020,Gendaria,24
24.04.2020,Golartek,1
24.04.2020,Goran,3
24.04.2020,Gonoktuli,3
24.04.2020,Gopibag,6
24.04.2020,Green Road,11
24.04.2020,Gulistan,6
24.04.2020,Gulshan,20
24.04.2020,Hatir jhil,1
24.04.2020,Hatirpool,3
24.04.2020,Hazaribagh,20
24.04.2020,Ibrahimpur,2
24.04.2020,Islambagh,2
24.04.2020,Islampur,2
24.04.2020,Jailgate,2
24.04.2020,Jatrabari,58
24.04.2020,Jigatala,6
24.04.2020,Jurain,18
24.04.2020,Kallyanpur,4
24.04.2020,Kalabagan,4
24.04.2020,Kakrail,27
24.04.2020,Kathalbagan,1
24.04.2020,Kamalapur,1
24.04.2020,Kamrangir Char,7
24.04.2020,Kazi para,6
24.04.2020,Kawran Bazar,4
24.04.2020,Koratitola,1
24.04.2020,Kochukhet,1
24.04.2020,Khilgaon,18
24.04.2020,Khilkhet,1
24.04.2020,Koltabazar,1
24.04.2020,Kodomtoli,3
24.04.2020,Kotowali,8
24.04.2020,Kuril,1
24.04.2020,Lalbagh,47
24.04.2020,Laxmibazar,7
24.04.2020,Madartek,1
24.04.2020,Malitola,1
24.04.2020,Malibagh,10
24.04.2020,Maniknagar,2
24.04.2020,Manikdi,1
24.04.2020,Matuail,4
24.04.2020,Mirhajaribagh,2
24.04.2020,Mirpur-1,20
24.04.2020,Mirpur-2,1
24.04.2020,Mirpur-6,6
24.04.2020,Mirpur-10,9
24.04.2020,Mirpur-11,18
24.04.2020,Mirpur-12,12
24.04.2020,Mirpur-13,2
24.04.2020,Mirpur-14,36
24.04.2020,Mitford,28
24.04.2020,Mogbazar,20
24.04.2020,Mohakhali,32
24.04.2020,Mohonpur,1
24.04.2020,Mohammadpur,49
24.04.2020,Motijeel,1
24.04.2020,Mugda,40
24.04.2020,Nawabpur,1
24.04.2020,Nazirabazar,7
24.04.2020,Nawabganj,4
24.04.2020,Narinda,10
24.04.2020,Nilkhet,3
24.04.2020,Nakhalpara,8
24.04.2020,Nayabazar,7
24.04.2020,Neemtoli,4
24.04.2020,Nikunja,1
24.04.2020,Pallabi,2
24.04.2020,Pirerbagh,3
24.04.2020,Postogola,4
24.04.2020,Purana Paltan,27
24.04.2020,Rajarbagh,72
24.04.2020,Rampura,11
24.04.2020,Ramna,7
24.04.2020,Rayerbagh,1
24.04.2020,Raja Bazar,2
24.04.2020,Rosulpur,1
24.04.2020,Rupganj,1
24.04.2020,Rayerbazar,2
24.04.2020,Sabujbagh,4
24.04.2020,Sadarghat,3
24.04.2020,Sahjanpur,6
24.04.2020,Sayedabad,2
24.04.2020,Segunbagicha,2
24.04.2020,Science Lab,1
24.04.2020,Shah Ali Bagh,2
24.04.2020,Shahbag,27
24.04.2020,Shakharibazar,20
24.04.2020,Shantibagh,3
24.04.2020,Shampur,1
24.04.2020,Shantinagar,13
24.04.2020,Shaymoli,9
24.04.2020,Shewrapara,4
24.04.2020,Shekher Tek,1
24.04.2020,Showari Ghat,3
24.04.2020,Siddheshwari,4
24.04.2020,Sonir akhra,5
24.04.2020,Swamibagh,31
24.04.2020,Sutrapur,13
24.04.2020,TatiBazar,2
24.04.2020,Tikatoli,12
24.04.2020,Tejgaon,33
24.04.2020,Turag,1
24.04.2020,Tezturi Bazar,4
24.04.2020,Tolarbag,19
24.04.2020,Urdu Road,1
24.04.2020,Uttara,29
24.04.2020,Vatara,1
24.04.2020,Wari,34
25.04.2020,Abdullahpur,1
25.04.2020,Adabor,6
25.04.2020,Agargaon,11
25.04.2020,Aminbazar,1
25.04.2020,Amlapara,1
25.04.2020,Armanitola,1
25.04.2020,Ashkona,1
25.04.2020,Azimpur,17
25.04.2020,Babu Bazar,11
25.04.2020,Badda,14
25.04.2020,Baily Road,3
25.04.2020,Baridhara,7
25.04.2020,Banasree,1
25.04.2020,Banani,9
25.04.2020,Banglamotor,2
25.04.2020,Bangshal,41
25.04.2020,Banianagar,1
25.04.2020,Basabo,22
25.04.2020,Bijoynagar,1
25.04.2020,Bashundhora,7
25.04.2020,Begunbari,1
25.04.2020,Begum Bazar,1
25.04.2020,Beribadh,1
25.04.2020,Bokshi Bazar,5
25.04.2020,Bosila,1
25.04.2020,Buet Area,1
25.04.2020,Cantonment,5
25.04.2020,Central Road,2
25.04.2020,Chankharpool,18
25.04.2020,Chawk Bazar,32
25.04.2020,Dania,1
25.04.2020,Dakshinkhan,1
25.04.2020,Dhakkeshori,1
25.04.2020,Demra,8
25.04.2020,Dhanmondi,29
25.04.2020,Dholaikhal,2
25.04.2020,Doyaganj,2
25.04.2020,Elephant Road,4
25.04.2020,Eskaton,9
25.04.2020,Faridabagh,1
25.04.2020,Fakirapool,2
25.04.2020,Farmgate,3
25.04.2020,Gendaria,28
25.04.2020,Golartek,1
25.04.2020,Goran,3
25.04.2020,Gonoktuli,3
25.04.2020,Gopibag,6
25.04.2020,Green Road,12
25.04.2020,Gulistan,6
25.04.2020,Gulshan,20
25.04.2020,Hatir jhil,1
25.04.2020,Hatirpool,3
25.04.2020,Hazaribagh,22
25.04.2020,Ibrahimpur,2
25.04.2020,Islambagh,2
25.04.2020,Islampur,2
25.04.2020,Jailgate,2
25.04.2020,Jatrabari,63
25.04.2020,Jigatala,6
25.04.2020,Jurain,18
25.04.2020,Kallyanpur,5
25.04.2020,Kalabagan,4
25.04.2020,Kakrail,27
25.04.2020,Kathalbagan,1
25.04.2020,Kamalapur,1
25.04.2020,Kamrangir Char,7
25.04.2020,Kazi para,6
25.04.2020,Kawran Bazar,4
25.04.2020,Koratitola,1
25.04.2020,Kochukhet,1
25.04.2020,Khilgaon,19
25.04.2020,Khilkhet,1
25.04.2020,Koltabazar,1
25.04.2020,Kodomtoli,5
25.04.2020,Kotowali,8
25.04.2020,Kuril,1
25.04.2020,Lalbagh,54
25.04.2020,Laxmibazar,8
25.04.2020,Madartek,1
25.04.2020,Malitola,2
25.04.2020,Malibagh,10
25.04.2020,Maniknagar,2
25.04.2020,Manikdi,1
25.04.2020,Matuail,4
25.04.2020,Mirhajaribagh,2
25.04.2020,Mirpur-1,24
25.04.2020,Mirpur-2,1
25.04.2020,Mirpur-6,6
25.04.2020,Mirpur-10,10
25.04.2020,Mirpur-11,20
25.04.2020,Mirpur-12,13
25.04.2020,Mirpur-13,3
25.04.2020,Mirpur-14,36
25.04.2020,Mitford,28
25.04.2020,Mogbazar,20
25.04.2020,Mohakhali,34
25.04.2020,Mohonpur,1
25.04.2020,Mohammadpur,49
25.04.2020,Motijeel,1
25.04.2020,Mugda,41
25.04.2020,Nawabpur,1
25.04.2020,Nazirabazar,7
25.04.2020,Nawabganj,4
25.04.2020,Narinda,10
25.04.2020,Nilkhet,3
25.04.2020,Nakhalpara,8
25.04.2020,Nayabazar,7
25.04.2020,Neemtoli,4
25.04.2020,Nikunja,1
25.04.2020,Pallabi,2
25.04.2020,Pirerbagh,3
25.04.2020,Postogola,5
25.04.2020,Purana Paltan,27
25.04.2020,Rajarbagh,87
25.04.2020,Rampura,12
25.04.2020,Ramna,7
25.04.2020,Rayerbagh,1
25.04.2020,Raja Bazar,2
25.04.2020,Rosulpur,1
25.04.2020,Rupganj,1
25.04.2020,Rayerbazar,2
25.04.2020,Sabujbagh,4
25.04.2020,Sadarghat,3
25.04.2020,Sahjanpur,6
25.04.2020,Sayedabad,2
25.04.2020,Segunbagicha,2
25.04.2020,Science Lab,1
25.04.2020,Shah Ali Bagh,2
25.04.2020,Shahbag,27
25.04.2020,Shakharibazar,25
25.04.2020,Shantibagh,3
25.04.2020,Shampur,1
25.04.2020,Shantinagar,13
25.04.2020,Shaymoli,9
25.04.2020,Shewrapara,4
25.04.2020,Shekher Tek,1
25.04.2020,Showari Ghat,3
25.04.2020,Siddheshwari,4
25.04.2020,Sonir akhra,6
25.04.2020,Swamibagh,31
25.04.2020,Sher-E-Bangla Nagar,6
25.04.2020,Sutrapur,13
25.04.2020,TatiBazar,2
25.04.2020,Tikatoli,12
25.04.2020,Tejgaon,33
25.04.2020,Turag,1
25.04.2020,Tezturi Bazar,4
25.04.2020,Tolarbag,19
25.04.2020,Urdu Road,1
25.04.2020,Uttara,29
25.04.2020,Vatara,1
25.04.2020,Wari,34
26.04.2020,Abdullahpur,1
26.04.2020,Adabor,6
26.04.2020,Agargaon,11
26.04.2020,Aminbazar,2
26.04.2020,Amlapara,2
26.04.2020,Armanitola,2
26.04.2020,Ashkona,1
26.04.2020,Azimpur,17
26.04.2020,Babu Bazar,11
26.04.2020,Badda,17
26.04.2020,Baily Road,3
26.04.2020,Baridhara,7
26.04.2020,Banasree,1
26.04.2020,Banani,9
26.04.2020,Banglamotor,2
26.04.2020,Bangshal,47
26.04.2020,Banianagar,1
26.04.2020,Basabo,24
26.04.2020,Bijoynagar,1
26.04.2020,Bashundhora,7
26.04.2020,Begunbari,1
26.04.2020,Begum Bazar,1
26.04.2020,Beribadh,1
26.04.2020,Bokshi Bazar,5
26.04.2020,Bosila,1
26.04.2020,Buet Area,1
26.04.2020,Cantonment,5
26.04.2020,Central Road,2
26.04.2020,Chankharpool,23
26.04.2020,Chawk Bazar,32
26.04.2020,Dania,1
26.04.2020,Dakshinkhan,1
26.04.2020,Dhakkeshori,1
26.04.2020,Demra,8
26.04.2020,Dhanmondi,31
26.04.2020,Dholaikhal,2
26.04.2020,Doyaganj,2
26.04.2020,Elephant Road,4
26.04.2020,Eskaton,9
26.04.2020,Faridabagh,1
26.04.2020,Fakirapool,2
26.04.2020,Farmgate,3
26.04.2020,Gendaria,28
26.04.2020,Golartek,1
26.04.2020,Goran,3
26.04.2020,Gonoktuli,3
26.04.2020,Gopibag,8
26.04.2020,Green Road,12
26.04.2020,Gulistan,6
26.04.2020,Gulshan,22
26.04.2020,Hatir jhil,1
26.04.2020,Hatirpool,3
26.04.2020,Hazaribagh,24
26.04.2020,Ibrahimpur,2
26.04.2020,Islambagh,2
26.04.2020,Islampur,2
26.04.2020,Jailgate,2
26.04.2020,Jatrabari,67
26.04.2020,Jigatala,6
26.04.2020,Jurain,22
26.04.2020,Kallyanpur,6
26.04.2020,Kalabagan,5
26.04.2020,Kakrail,33
26.04.2020,Kathalbagan,1
26.04.2020,Kamalapur,2
26.04.2020,Kamrangir Char,7
26.04.2020,Kazi para,6
26.04.2020,Kawran Bazar,4
26.04.2020,Koratitola,1
26.04.2020,Kochukhet,1
26.04.2020,Khilgaon,19
26.04.2020,Khilkhet,1
26.04.2020,Koltabazar,1
26.04.2020,Kodomtoli,5
26.04.2020,Kotowali,8
26.04.2020,Kuril,1
26.04.2020,Lalbagh,59
26.04.2020,Laxmibazar,9
26.04.2020,Madartek,1
26.04.2020,Malitola,4
26.04.2020,Malibagh,13
26.04.2020,Maniknagar,2
26.04.2020,Manikdi,1
26.04.2020,Matuail,4
26.04.2020,Mirhajaribagh,2
26.04.2020,Mirpur-1,26
26.04.2020,Mirpur-2,1
26.04.2020,Mirpur-6,6
26.04.2020,Mirpur-10,11
26.04.2020,Mirpur-11,23
26.04.2020,Mirpur-12,14
26.04.2020,Mirpur-13,3
26.04.2020,Mirpur-14,36
26.04.2020,Mitford,38
26.04.2020,Mogbazar,25
26.04.2020,Monipur,1
26.04.2020,Mohakhali,38
26.04.2020,Mohonpur,1
26.04.2020,Mohammadpur,54
26.04.2020,Motijeel,2
26.04.2020,Mugda,41
26.04.2020,Nawabpur,1
26.04.2020,Nazirabazar,7
26.04.2020,Nawabganj,4
26.04.2020,Narinda,11
26.04.2020,Nilkhet,3
26.04.2020,Nakhalpara,9
26.04.2020,Nayabazar,7
26.04.2020,Neemtoli,4
26.04.2020,Nikunja,1
26.04.2020,Pallabi,2
26.04.2020,Pirerbagh,3
26.04.2020,Postogola,5
26.04.2020,Purana Paltan,27
26.04.2020,Rajarbagh,99
26.04.2020,Rampura,13
26.04.2020,Ramna,7
26.04.2020,Rayerbagh,1
26.04.2020,Raja Bazar,2
26.04.2020,Rosulpur,1
26.04.2020,Rupganj,1
26.04.2020,Rayerbazar,4
26.04.2020,Sabujbagh,4
26.04.2020,Sadarghat,3
26.04.2020,Sahjanpur,6
26.04.2020,Sayedabad,4
26.04.2020,Segunbagicha,2
26.04.2020,Science Lab,1
26.04.2020,Shah Ali Bagh,2
26.04.2020,Shahbag,34
26.04.2020,Shakharibazar,27
26.04.2020,Shantibagh,3
26.04.2020,Shampur,1
26.04.2020,Shantinagar,13
26.04.2020,Shaymoli,11
26.04.2020,Shewrapara,4
26.04.2020,Shekher Tek,1
26.04.2020,Showari Ghat,3
26.04.2020,Siddheshwari,4
26.04.2020,Sonir akhra,6
26.04.2020,Swamibagh,31
26.04.2020,Sher-E-Bangla Nagar,6
26.04.2020,Sutrapur,14
26.04.2020,TatiBazar,2
26.04.2020,Tikatoli,14
26.04.2020,Tejkunipara,1
26.04.2020,Tejgaon,36
26.04.2020,Turag,1
26.04.2020,Tezturi Bazar,4
26.04.2020,Tolarbag,19
26.04.2020,Urdu Road,1
26.04.2020,Uttara,33
26.04.2020,Vatara,1
26.04.2020,Wari,35
27.04.2020,Abdullahpur,1
27.04.2020,Adabor,6
27.04.2020,Agargaon,11
27.04.2020,Aminbazar,2
27.04.2020,Amlapara,2
27.04.2020,Armanitola,2
27.04.2020,Ashkona,1
27.04.2020,Azimpur,18
27.04.2020,Babu Bazar,11
27.04.2020,Badda,18
27.04.2020,Baily Road,3
27.04.2020,Baridhara,7
27.04.2020,Banasree,1
27.04.2020,Banani,9
27.04.2020,Banglamotor,2
27.04.2020,Bangshal,47
27.04.2020,Banianagar,1
27.04.2020,Basabo,24
27.04.2020,Bijoynagar,1
27.04.2020,Bashundhora,7
27.04.2020,Begunbari,1
27.04.2020,Begum Bazar,1
27.04.2020,Beribadh,1
27.04.2020,Bokshi Bazar,5
27.04.2020,Bosila,1
27.04.2020,Buet Area,1
27.04.2020,Cantonment,7
27.04.2020,Central Road,2
27.04.2020,Chankharpool,26
27.04.2020,Chawk Bazar,32
27.04.2020,Dania,1
27.04.2020,Dakshinkhan,1
27.04.2020,Dhakkeshori,1
27.04.2020,Demra,9
27.04.2020,Dhanmondi,36
27.04.2020,Dholaikhal,2
27.04.2020,Doyaganj,2
27.04.2020,Elephant Road,5
27.04.2020,Eskaton,9
27.04.2020,Faridabagh,1
27.04.2020,Fakirapool,2
27.04.2020,Farmgate,5
27.04.2020,Gendaria,29
27.04.2020,Golartek,1
27.04.2020,Goran,3
27.04.2020,Gonoktuli,3
27.04.2020,Gopibag,10
27.04.2020,Green Road,12
27.04.2020,Gulistan,6
27.04.2020,Gulshan,23
27.04.2020,Hatir jhil,1
27.04.2020,Hatirpool,3
27.04.2020,Hazaribagh,26
27.04.2020,Ibrahimpur,2
27.04.2020,Islambagh,2
27.04.2020,Islampur,2
27.04.2020,Jailgate,2
27.04.2020,Jatrabari,69
27.04.2020,Jigatala,6
27.04.2020,Jurain,22
27.04.2020,Kallyanpur,6
27.04.2020,Kalabagan,5
27.04.2020,Kakrail,44
27.04.2020,Kathalbagan,1
27.04.2020,Kamalapur,2
27.04.2020,Kamrangir Char,11
27.04.2020,Kazi para,7
27.04.2020,Kawran Bazar,5
27.04.2020,Koratitola,1
27.04.2020,Kochukhet,1
27.04.2020,Khilgaon,20
27.04.2020,Khilkhet,1
27.04.2020,Koltabazar,1
27.04.2020,Kodomtoli,5
27.04.2020,Kotowali,9
27.04.2020,Kuril,1
27.04.2020,Lalbagh,65
27.04.2020,Laxmibazar,10
27.04.2020,Madartek,1
27.04.2020,Malitola,4
27.04.2020,Malibagh,18
27.04.2020,Maniknagar,2
27.04.2020,Manikdi,1
27.04.2020,Matuail,4
27.04.2020,Mirhajaribagh,3
27.04.2020,Mirpur-1,29
27.04.2020,Mirpur-2,2
27.04.2020,Mirpur-6,6
27.04.2020,Mirpur-10,13
27.04.2020,Mirpur-11,25
27.04.2020,Mirpur-12,16
27.04.2020,Mirpur-13,3
27.04.2020,Mirpur-14,37
27.04.2020,Mitford,38
27.04.2020,Mogbazar,28
27.04.2020,Monipur,1
27.04.2020,Mohakhali,42
27.04.2020,Mohonpur,1
27.04.2020,Mohammadpur,57
27.04.2020,Motijeel,2
27.04.2020,Mugda,41
27.04.2020,Nawabpur,1
27.04.2020,Nazirabazar,7
27.04.2020,Nawabganj,4
27.04.2020,Narinda,11
27.04.2020,Nilkhet,3
